farmer_code,farmer_gender,farmer_age,farmer_experience,farmer_house_ownership_status,farmer_job_status,farmer_dependents,farmer_marital_status,farmer_other_job_status,farmer_other_job_type,farmer_financial_loan_history,farmer_financial_loan_performance,farmer_financial_monthly_income,farmer_insurance_status,farmer_savings_status,farmer_field_irrigation,farmer_field_range_to_water,farmer_planting_phase,farmer_planting_season,farming_frequency_in_year,farmer_seeds_certificate,farmer_seeds_type,farmer_seeds_variety,farmer_field_tiles,farmer_field_owned_area,farmer_field_proposed_area,proposed_field_size_ratio,farmer_field_ph,historical_harvest,farmer_last_year_harvest,farmer_last_year_expense,farmer_farming_failure_history,farmer_planting_rotation,farmer_partnership_eratani_history,farmer_credit_score,farmer_total_loan,farmer_repayment_status,farmer_count
PTN-11536,Male,48,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,500",,"10,000,000",Tidak Ada,Minimum 1x rotasi,Belum pernah,65,"10,631,053",Outstanding,1
PTN-11608,Male,59,16,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Tidak memiliki asuransi apapun,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,500",,"10,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"10,728,408",Outstanding,1
PTN-11472,Female,60,21,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"6,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,673,882",Outstanding,1
PTN-11440,Male,60,16,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"11,673,882",Outstanding,1
PTN-11457,Male,46,11,Milik keluarga,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Tidak bersertifikat,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"11,500,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,826,780",Outstanding,1
PTN-11425,Male,21,3,Milik keluarga,Penggarap dengan lahan sewa gadai,2,Belum Menikah,"Ada, Paruh Waktu",Lainnya,Tidak Ada,,"3,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Ciliwung,,0.5,0.5,100,,"6,000",,"3,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,56,"4,587,335",Outstanding,1
PTN-11397,Male,49,24,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,66,"10,979,256",Outstanding,1
PTN-11396,Male,60,25,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"5,500,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,Irigasi Teknis,50,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,5,"5,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,68,"10,979,256",Outstanding,1
PTN-11398,Female,22,4,Milik keluarga,Penggarap dengan lahan sewa dan bukan skema gadai,,Belum Menikah,"Ada, Wiraswasta",,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,30,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,5,"5,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,70,"5,729,712",Outstanding,1
PTN-11438,Male,56,15,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"11,673,882",Outstanding,1
PTN-11439,Male,43,15,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,4,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,673,882",Outstanding,1
PTN-11331,Male,36,9,Milik keluarga,Penggarap dengan lahan sewa dan bukan skema gadai,2,Belum Menikah,"Ada, Purna Waktu",Lainnya,Tidak Ada,,"5,000,000",Tidak memiliki asuransi apapun,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,0.5,0.5,100,,"7,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"5,732,781",Outstanding,1
PTN-11330,Male,42,15,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,Lainnya,Tidak Ada,,"5,000,000",Tidak memiliki asuransi apapun,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,0.5,0.5,100,,"7,000",,"1,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,65,"5,732,781",Lunas,1
